displacement,mpg,cylinders,horsepower,weight,acceleration,model_year,origin,car_name
122.0,21.0,4.0,86.0,2226.0,16.5,72.0,1.0,ford pinto runabout
350.0,13.0,8.0,165.0,4274.0,12.0,72.0,1.0,chevrolet impala
400.0,14.0,8.0,175.0,4385.0,12.0,72.0,1.0,pontiac catalina
318.0,15.0,8.0,150.0,4135.0,13.5,72.0,1.0,plymouth fury iii
351.0,14.0,8.0,153.0,4129.0,13.0,72.0,1.0,ford galaxie 500
304.0,17.0,8.0,150.0,3672.0,11.5,72.0,1.0,amc ambassador sst
429.0,11.0,8.0,208.0,4633.0,11.0,72.0,1.0,mercury marquis
350.0,13.0,8.0,155.0,4502.0,13.5,72.0,1.0,buick lesabre custom
350.0,12.0,8.0,160.0,4456.0,13.5,72.0,1.0,oldsmobile delta 88 royale
400.0,13.0,8.0,190.0,4422.0,12.5,72.0,1.0,chrysler newport royal
70.0,19.0,3.0,97.0,2330.0,13.5,72.0,3.0,mazda rx2 coupe
304.0,15.0,8.0,150.0,3892.0,12.5,72.0,1.0,amc matador (sw)
307.0,13.0,8.0,130.0,4098.0,14.0,72.0,1.0,chevrolet chevelle concours (sw)
302.0,13.0,8.0,140.0,4294.0,16.0,72.0,1.0,ford gran torino (sw)
318.0,14.0,8.0,150.0,4077.0,14.0,72.0,1.0,plymouth satellite custom (sw)
121.0,18.0,4.0,112.0,2933.0,14.5,72.0,2.0,volvo 145e (sw)
121.0,22.0,4.0,76.0,2511.0,18.0,72.0,2.0,volkswagen 411 (sw)
120.0,21.0,4.0,87.0,2979.0,19.5,72.0,2.0,peugeot 504 (sw)
96.0,26.0,4.0,69.0,2189.0,18.0,72.0,2.0,renault 12 (sw)
122.0,22.0,4.0,86.0,2395.0,16.0,72.0,1.0,ford pinto (sw)
97.0,28.0,4.0,92.0,2288.0,17.0,72.0,3.0,datsun 510 (sw)
120.0,23.0,4.0,97.0,2506.0,14.5,72.0,3.0,toyouta corona mark ii (sw)
98.0,28.0,4.0,80.0,2164.0,15.0,72.0,1.0,dodge colt (sw)
97.0,27.0,4.0,88.0,2100.0,16.5,72.0,3.0,toyota corolla 1600 (sw)
350.0,13.0,8.0,175.0,4100.0,13.0,73.0,1.0,buick century 350
304.0,14.0,8.0,150.0,3672.0,11.5,73.0,1.0,amc matador
350.0,13.0,8.0,145.0,3988.0,13.0,73.0,1.0,chevrolet malibu
302.0,14.0,8.0,137.0,4042.0,14.5,73.0,1.0,ford gran torino
318.0,15.0,8.0,150.0,3777.0,12.5,73.0,1.0,dodge coronet custom
429.0,12.0,8.0,198.0,4952.0,11.5,73.0,1.0,mercury marquis brougham
400.0,13.0,8.0,150.0,4464.0,12.0,73.0,1.0,chevrolet caprice classic
351.0,13.0,8.0,158.0,4363.0,13.0,73.0,1.0,ford ltd
318.0,14.0,8.0,150.0,4237.0,14.5,73.0,1.0,plymouth fury gran sedan
440.0,13.0,8.0,215.0,4735.0,11.0,73.0,1.0,chrysler new yorker brougham
455.0,12.0,8.0,225.0,4951.0,11.0,73.0,1.0,buick electra 225 custom
360.0,13.0,8.0,175.0,3821.0,11.0,73.0,1.0,amc ambassador brougham
225.0,18.0,6.0,105.0,3121.0,16.5,73.0,1.0,plymouth valiant
250.0,16.0,6.0,100.0,3278.0,18.0,73.0,1.0,chevrolet nova custom
232.0,18.0,6.0,100.0,2945.0,16.0,73.0,1.0,amc hornet
250.0,18.0,6.0,88.0,3021.0,16.5,73.0,1.0,ford maverick
198.0,23.0,6.0,95.0,2904.0,16.0,73.0,1.0,plymouth duster
97.0,26.0,4.0,46.0,1950.0,21.0,73.0,2.0,volkswagen super beetle
400.0,11.0,8.0,150.0,4997.0,14.0,73.0,1.0,chevrolet impala
400.0,12.0,8.0,167.0,4906.0,12.5,73.0,1.0,ford country
360.0,13.0,8.0,170.0,4654.0,13.0,73.0,1.0,plymouth custom suburb
350.0,12.0,8.0,180.0,4499.0,12.5,73.0,1.0,oldsmobile vista cruiser
232.0,18.0,6.0,100.0,2789.0,15.0,73.0,1.0,amc gremlin
97.0,20.0,4.0,88.0,2279.0,19.0,73.0,3.0,toyota carina
140.0,21.0,4.0,72.0,2401.0,19.5,73.0,1.0,chevrolet vega
108.0,22.0,4.0,94.0,2379.0,16.5,73.0,3.0,datsun 610
70.0,18.0,3.0,90.0,2124.0,13.5,73.0,3.0,maxda rx3
122.0,19.0,4.0,85.0,2310.0,18.5,73.0,1.0,ford pinto
155.0,21.0,6.0,107.0,2472.0,14.0,73.0,1.0,mercury capri v6
98.0,26.0,4.0,90.0,2265.0,15.5,73.0,2.0,fiat 124 sport coupe
350.0,15.0,8.0,145.0,4082.0,13.0,73.0,1.0,chevrolet monte carlo s
400.0,16.0,8.0,230.0,4278.0,9.5,73.0,1.0,pontiac grand prix
68.0,29.0,4.0,49.0,1867.0,19.5,73.0,2.0,fiat 128
116.0,24.0,4.0,75.0,2158.0,15.5,73.0,2.0,opel manta
114.0,20.0,4.0,91.0,2582.0,14.0,73.0,2.0,audi 100ls
121.0,19.0,4.0,112.0,2868.0,15.5,73.0,2.0,volvo 144ea
318.0,15.0,8.0,150.0,3399.0,11.0,73.0,1.0,dodge dart custom
121.0,24.0,4.0,110.0,2660.0,14.0,73.0,2.0,saab 99le
156.0,20.0,6.0,122.0,2807.0,13.5,73.0,3.0,toyota mark ii
350.0,11.0,8.0,180.0,3664.0,11.0,73.0,1.0,oldsmobile omega
198.0,20.0,6.0,95.0,3102.0,16.5,74.0,1.0,plymouth duster
232.0,19.0,6.0,100.0,2901.0,16.0,74.0,1.0,amc hornet
250.0,15.0,6.0,100.0,3336.0,17.0,74.0,1.0,chevrolet nova
79.0,31.0,4.0,67.0,1950.0,19.0,74.0,3.0,datsun b210
122.0,26.0,4.0,80.0,2451.0,16.5,74.0,1.0,ford pinto
71.0,32.0,4.0,65.0,1836.0,21.0,74.0,3.0,toyota corolla 1200
140.0,25.0,4.0,75.0,2542.0,17.0,74.0,1.0,chevrolet vega
250.0,16.0,6.0,100.0,3781.0,17.0,74.0,1.0,chevrolet chevelle malibu classic
258.0,16.0,6.0,110.0,3632.0,18.0,74.0,1.0,amc matador
225.0,18.0,6.0,105.0,3613.0,16.5,74.0,1.0,plymouth satellite sebring
302.0,16.0,8.0,140.0,4141.0,14.0,74.0,1.0,ford gran torino
350.0,13.0,8.0,150.0,4699.0,14.5,74.0,1.0,buick century luxus (sw)
318.0,14.0,8.0,150.0,4457.0,13.5,74.0,1.0,dodge coronet custom (sw)
302.0,14.0,8.0,140.0,4638.0,16.0,74.0,1.0,ford gran torino (sw)
304.0,14.0,8.0,150.0,4257.0,15.5,74.0,1.0,amc matador (sw)
98.0,29.0,4.0,83.0,2219.0,16.5,74.0,2.0,audi fox
79.0,26.0,4.0,67.0,1963.0,15.5,74.0,2.0,volkswagen dasher
97.0,26.0,4.0,78.0,2300.0,14.5,74.0,2.0,opel manta
76.0,31.0,4.0,52.0,1649.0,16.5,74.0,3.0,toyota corona
83.0,32.0,4.0,61.0,2003.0,19.0,74.0,3.0,datsun 710
90.0,28.0,4.0,75.0,2125.0,14.5,74.0,1.0,dodge colt
90.0,24.0,4.0,75.0,2108.0,15.5,74.0,2.0,fiat 128
116.0,26.0,4.0,75.0,2246.0,14.0,74.0,2.0,fiat 124 tc
120.0,24.0,4.0,97.0,2489.0,15.0,74.0,3.0,honda civic
108.0,26.0,4.0,93.0,2391.0,15.5,74.0,3.0,subaru
79.0,31.0,4.0,67.0,2000.0,16.0,74.0,2.0,fiat x1.9
225.0,19.0,6.0,95.0,3264.0,16.0,75.0,1.0,plymouth valiant custom
250.0,18.0,6.0,105.0,3459.0,16.0,75.0,1.0,chevrolet nova
250.0,15.0,6.0,72.0,3432.0,21.0,75.0,1.0,mercury monarch
250.0,15.0,6.0,72.0,3158.0,19.5,75.0,1.0,ford maverick
400.0,16.0,8.0,170.0,4668.0,11.5,75.0,1.0,pontiac catalina
350.0,15.0,8.0,145.0,4440.0,14.0,75.0,1.0,chevrolet bel air
318.0,16.0,8.0,150.0,4498.0,14.5,75.0,1.0,plymouth grand fury
351.0,14.0,8.0,148.0,4657.0,13.5,75.0,1.0,ford ltd
231.0,17.0,6.0,110.0,3907.0,21.0,75.0,1.0,buick century
250.0,16.0,6.0,105.0,3897.0,18.5,75.0,1.0,chevroelt chevelle malibu
258.0,15.0,6.0,110.0,3730.0,19.0,75.0,1.0,amc matador
225.0,18.0,6.0,95.0,3785.0,19.0,75.0,1.0,plymouth fury
231.0,21.0,6.0,110.0,3039.0,15.0,75.0,1.0,buick skyhawk
262.0,20.0,8.0,110.0,3221.0,13.5,75.0,1.0,chevrolet monza 2+2
302.0,13.0,8.0,129.0,3169.0,12.0,75.0,1.0,ford mustang ii
97.0,29.0,4.0,75.0,2171.0,16.0,75.0,3.0,toyota corolla
140.0,23.0,4.0,83.0,2639.0,17.0,75.0,1.0,ford pinto
232.0,20.0,6.0,100.0,2914.0,16.0,75.0,1.0,amc gremlin
140.0,23.0,4.0,78.0,2592.0,18.5,75.0,1.0,pontiac astro
134.0,24.0,4.0,96.0,2702.0,13.5,75.0,3.0,toyota corona
90.0,25.0,4.0,71.0,2223.0,16.5,75.0,2.0,volkswagen dasher
119.0,24.0,4.0,97.0,2545.0,17.0,75.0,3.0,datsun 710
171.0,18.0,6.0,97.0,2984.0,14.5,75.0,1.0,ford pinto
90.0,29.0,4.0,70.0,1937.0,14.0,75.0,2.0,volkswagen rabbit
232.0,19.0,6.0,90.0,3211.0,17.0,75.0,1.0,amc pacer
115.0,23.0,4.0,95.0,2694.0,15.0,75.0,2.0,audi 100ls
120.0,23.0,4.0,88.0,2957.0,17.0,75.0,2.0,peugeot 504
121.0,22.0,4.0,98.0,2945.0,14.5,75.0,2.0,volvo 244dl
121.0,25.0,4.0,115.0,2671.0,13.5,75.0,2.0,saab 99le
91.0,33.0,4.0,53.0,1795.0,17.5,75.0,3.0,honda civic cvcc
107.0,28.0,4.0,86.0,2464.0,15.5,76.0,2.0,fiat 131
116.0,25.0,4.0,81.0,2220.0,16.9,76.0,2.0,opel 1900
140.0,25.0,4.0,92.0,2572.0,14.9,76.0,1.0,capri ii
98.0,26.0,4.0,79.0,2255.0,17.7,76.0,1.0,dodge colt
101.0,27.0,4.0,83.0,2202.0,15.3,76.0,2.0,renault 12tl
305.0,17.5,8.0,140.0,4215.0,13.0,76.0,1.0,chevrolet chevelle malibu classic
318.0,16.0,8.0,150.0,4190.0,13.0,76.0,1.0,dodge coronet brougham
304.0,15.5,8.0,120.0,3962.0,13.9,76.0,1.0,amc matador
351.0,14.5,8.0,152.0,4215.0,12.8,76.0,1.0,ford gran torino
225.0,22.0,6.0,100.0,3233.0,15.4,76.0,1.0,plymouth valiant
250.0,22.0,6.0,105.0,3353.0,14.5,76.0,1.0,chevrolet nova
200.0,24.0,6.0,81.0,3012.0,17.6,76.0,1.0,ford maverick
232.0,22.5,6.0,90.0,3085.0,17.6,76.0,1.0,amc hornet
85.0,29.0,4.0,52.0,2035.0,22.2,76.0,1.0,chevrolet chevette
98.0,24.5,4.0,60.0,2164.0,22.1,76.0,1.0,chevrolet woody
90.0,29.0,4.0,70.0,1937.0,14.2,76.0,2.0,vw rabbit
91.0,33.0,4.0,53.0,1795.0,17.4,76.0,3.0,honda civic
225.0,20.0,6.0,100.0,3651.0,17.7,76.0,1.0,dodge aspen se
250.0,18.0,6.0,78.0,3574.0,21.0,76.0,1.0,ford granada ghia
250.0,18.5,6.0,110.0,3645.0,16.2,76.0,1.0,pontiac ventura sj
258.0,17.5,6.0,95.0,3193.0,17.8,76.0,1.0,amc pacer d/l
97.0,29.5,4.0,71.0,1825.0,12.2,76.0,2.0,volkswagen rabbit
85.0,32.0,4.0,70.0,1990.0,17.0,76.0,3.0,datsun b-210
97.0,28.0,4.0,75.0,2155.0,16.4,76.0,3.0,toyota corolla
140.0,26.5,4.0,72.0,2565.0,13.6,76.0,1.0,ford pinto
130.0,20.0,4.0,102.0,3150.0,15.7,76.0,2.0,volvo 245
318.0,13.0,8.0,150.0,3940.0,13.2,76.0,1.0,plymouth volare premier v8
120.0,19.0,4.0,88.0,3270.0,21.9,76.0,2.0,peugeot 504
156.0,19.0,6.0,108.0,2930.0,15.5,76.0,3.0,toyota mark ii
168.0,16.5,6.0,120.0,3820.0,16.7,76.0,2.0,mercedes-benz 280s
350.0,16.5,8.0,180.0,4380.0,12.1,76.0,1.0,cadillac seville
350.0,13.0,8.0,145.0,4055.0,12.0,76.0,1.0,chevy c10
302.0,13.0,8.0,130.0,3870.0,15.0,76.0,1.0,ford f108
318.0,13.0,8.0,150.0,3755.0,14.0,76.0,1.0,dodge d100
98.0,31.5,4.0,68.0,2045.0,18.5,77.0,3.0,honda accord cvcc
111.0,30.0,4.0,80.0,2155.0,14.8,77.0,1.0,buick opel isuzu deluxe
79.0,36.0,4.0,58.0,1825.0,18.6,77.0,2.0,renault 5 gtl
122.0,25.5,4.0,96.0,2300.0,15.5,77.0,1.0,plymouth arrow gs
85.0,33.5,4.0,70.0,1945.0,16.8,77.0,3.0,datsun f-10 hatchback
305.0,17.5,8.0,145.0,3880.0,12.5,77.0,1.0,chevrolet caprice classic
260.0,17.0,8.0,110.0,4060.0,19.0,77.0,1.0,oldsmobile cutlass supreme
318.0,15.5,8.0,145.0,4140.0,13.7,77.0,1.0,dodge monaco brougham
302.0,15.0,8.0,130.0,4295.0,14.9,77.0,1.0,mercury cougar brougham
250.0,17.5,6.0,110.0,3520.0,16.4,77.0,1.0,chevrolet concours
231.0,20.5,6.0,105.0,3425.0,16.9,77.0,1.0,buick skylark
225.0,19.0,6.0,100.0,3630.0,17.7,77.0,1.0,plymouth volare custom
250.0,18.5,6.0,98.0,3525.0,19.0,77.0,1.0,ford granada
400.0,16.0,8.0,180.0,4220.0,11.1,77.0,1.0,pontiac grand prix lj
350.0,15.5,8.0,170.0,4165.0,11.4,77.0,1.0,chevrolet monte carlo landau
400.0,15.5,8.0,190.0,4325.0,12.2,77.0,1.0,chrysler cordoba
351.0,16.0,8.0,149.0,4335.0,14.5,77.0,1.0,ford thunderbird
97.0,29.0,4.0,78.0,1940.0,14.5,77.0,2.0,volkswagen rabbit custom
151.0,24.5,4.0,88.0,2740.0,16.0,77.0,1.0,pontiac sunbird coupe
97.0,26.0,4.0,75.0,2265.0,18.2,77.0,3.0,toyota corolla liftback
140.0,25.5,4.0,89.0,2755.0,15.8,77.0,1.0,ford mustang ii 2+2
98.0,30.5,4.0,63.0,2051.0,17.0,77.0,1.0,chevrolet chevette
98.0,33.5,4.0,83.0,2075.0,15.9,77.0,1.0,dodge colt m/m
97.0,30.0,4.0,67.0,1985.0,16.4,77.0,3.0,subaru dl
97.0,30.5,4.0,78.0,2190.0,14.1,77.0,2.0,volkswagen dasher
146.0,22.0,6.0,97.0,2815.0,14.5,77.0,3.0,datsun 810
121.0,21.5,4.0,110.0,2600.0,12.8,77.0,2.0,bmw 320i
80.0,21.5,3.0,110.0,2720.0,13.5,77.0,3.0,mazda rx-4
90.0,43.1,4.0,48.0,1985.0,21.5,78.0,2.0,volkswagen rabbit custom diesel
98.0,36.1,4.0,66.0,1800.0,14.4,78.0,1.0,ford fiesta
78.0,32.8,4.0,52.0,1985.0,19.4,78.0,3.0,mazda glc deluxe
85.0,39.4,4.0,70.0,2070.0,18.6,78.0,3.0,datsun b210 gx
91.0,36.1,4.0,60.0,1800.0,16.4,78.0,3.0,honda civic cvcc
260.0,19.9,8.0,110.0,3365.0,15.5,78.0,1.0,oldsmobile cutlass salon brougham
318.0,19.4,8.0,140.0,3735.0,13.2,78.0,1.0,dodge diplomat
302.0,20.2,8.0,139.0,3570.0,12.8,78.0,1.0,mercury monarch ghia
231.0,19.2,6.0,105.0,3535.0,19.2,78.0,1.0,pontiac phoenix lj
200.0,20.5,6.0,95.0,3155.0,18.2,78.0,1.0,chevrolet malibu
200.0,20.2,6.0,85.0,2965.0,15.8,78.0,1.0,ford fairmont (auto)
140.0,25.1,4.0,88.0,2720.0,15.4,78.0,1.0,ford fairmont (man)
225.0,20.5,6.0,100.0,3430.0,17.2,78.0,1.0,plymouth volare
232.0,19.4,6.0,90.0,3210.0,17.2,78.0,1.0,amc concord
231.0,20.6,6.0,105.0,3380.0,15.8,78.0,1.0,buick century special
200.0,20.8,6.0,85.0,3070.0,16.7,78.0,1.0,mercury zephyr
225.0,18.6,6.0,110.0,3620.0,18.7,78.0,1.0,dodge aspen
258.0,18.1,6.0,120.0,3410.0,15.1,78.0,1.0,amc concord d/l
305.0,19.2,8.0,145.0,3425.0,13.2,78.0,1.0,chevrolet monte carlo landau
231.0,17.7,6.0,165.0,3445.0,13.4,78.0,1.0,buick regal sport coupe (turbo)
302.0,18.1,8.0,139.0,3205.0,11.2,78.0,1.0,ford futura
318.0,17.5,8.0,140.0,4080.0,13.7,78.0,1.0,dodge magnum xe
98.0,30.0,4.0,68.0,2155.0,16.5,78.0,1.0,chevrolet chevette
134.0,27.5,4.0,95.0,2560.0,14.2,78.0,3.0,toyota corona
119.0,27.2,4.0,97.0,2300.0,14.7,78.0,3.0,datsun 510
105.0,30.9,4.0,75.0,2230.0,14.5,78.0,1.0,dodge omni
134.0,21.1,4.0,95.0,2515.0,14.8,78.0,3.0,toyota celica gt liftback
156.0,23.2,4.0,105.0,2745.0,16.7,78.0,1.0,plymouth sapporo
151.0,23.8,4.0,85.0,2855.0,17.6,78.0,1.0,oldsmobile starfire sx
119.0,23.9,4.0,97.0,2405.0,14.9,78.0,3.0,datsun 200-sx
131.0,20.3,5.0,103.0,2830.0,15.9,78.0,2.0,audi 5000
163.0,17.0,6.0,125.0,3140.0,13.6,78.0,2.0,volvo 264gl
121.0,21.6,4.0,115.0,2795.0,15.7,78.0,2.0,saab 99gle
163.0,16.2,6.0,133.0,3410.0,15.8,78.0,2.0,peugeot 604sl
89.0,31.5,4.0,71.0,1990.0,14.9,78.0,2.0,volkswagen scirocco
98.0,29.5,4.0,68.0,2135.0,16.6,78.0,3.0,honda accord lx
231.0,21.5,6.0,115.0,3245.0,15.4,79.0,1.0,pontiac lemans v6
200.0,19.8,6.0,85.0,2990.0,18.2,79.0,1.0,mercury zephyr 6
140.0,22.3,4.0,88.0,2890.0,17.3,79.0,1.0,ford fairmont 4
232.0,20.2,6.0,90.0,3265.0,18.2,79.0,1.0,amc concord dl 6
225.0,20.6,6.0,110.0,3360.0,16.6,79.0,1.0,dodge aspen 6
305.0,17.0,8.0,130.0,3840.0,15.4,79.0,1.0,chevrolet caprice classic
302.0,17.6,8.0,129.0,3725.0,13.4,79.0,1.0,ford ltd landau
351.0,16.5,8.0,138.0,3955.0,13.2,79.0,1.0,mercury grand marquis
318.0,18.2,8.0,135.0,3830.0,15.2,79.0,1.0,dodge st. regis
350.0,16.9,8.0,155.0,4360.0,14.9,79.0,1.0,buick estate wagon (sw)
351.0,15.5,8.0,142.0,4054.0,14.3,79.0,1.0,ford country squire (sw)
267.0,19.2,8.0,125.0,3605.0,15.0,79.0,1.0,chevrolet malibu classic (sw)
360.0,18.5,8.0,150.0,3940.0,13.0,79.0,1.0,chrysler lebaron town @ country (sw)
89.0,31.9,4.0,71.0,1925.0,14.0,79.0,2.0,vw rabbit custom
86.0,34.1,4.0,65.0,1975.0,15.2,79.0,3.0,maxda glc deluxe
98.0,35.7,4.0,80.0,1915.0,14.4,79.0,1.0,dodge colt hatchback custom
121.0,27.4,4.0,80.0,2670.0,15.0,79.0,1.0,amc spirit dl
183.0,25.4,5.0,77.0,3530.0,20.1,79.0,2.0,mercedes benz 300d
350.0,23.0,8.0,125.0,3900.0,17.4,79.0,1.0,cadillac eldorado
141.0,27.2,4.0,71.0,3190.0,24.8,79.0,2.0,peugeot 504
260.0,23.9,8.0,90.0,3420.0,22.2,79.0,1.0,oldsmobile cutlass salon brougham
105.0,34.2,4.0,70.0,2200.0,13.2,79.0,1.0,plymouth horizon
105.0,34.5,4.0,70.0,2150.0,14.9,79.0,1.0,plymouth horizon tc3
85.0,31.8,4.0,65.0,2020.0,19.2,79.0,3.0,datsun 210
91.0,37.3,4.0,69.0,2130.0,14.7,79.0,2.0,fiat strada custom
151.0,28.4,4.0,90.0,2670.0,16.0,79.0,1.0,buick skylark limited
173.0,28.8,6.0,115.0,2595.0,11.3,79.0,1.0,chevrolet citation
173.0,26.8,6.0,115.0,2700.0,12.9,79.0,1.0,oldsmobile omega brougham
151.0,33.5,4.0,90.0,2556.0,13.2,79.0,1.0,pontiac phoenix
98.0,41.5,4.0,76.0,2144.0,14.7,80.0,2.0,vw rabbit
89.0,38.1,4.0,60.0,1968.0,18.8,80.0,3.0,toyota corolla tercel
98.0,32.1,4.0,70.0,2120.0,15.5,80.0,1.0,chevrolet chevette
86.0,37.2,4.0,65.0,2019.0,16.4,80.0,3.0,datsun 310
151.0,28.0,4.0,90.0,2678.0,16.5,80.0,1.0,chevrolet citation
140.0,26.4,4.0,88.0,2870.0,18.1,80.0,1.0,ford fairmont
151.0,24.3,4.0,90.0,3003.0,20.1,80.0,1.0,amc concord
225.0,19.1,6.0,90.0,3381.0,18.7,80.0,1.0,dodge aspen
97.0,34.3,4.0,78.0,2188.0,15.8,80.0,2.0,audi 4000
134.0,29.8,4.0,90.0,2711.0,15.5,80.0,3.0,toyota corona liftback
120.0,31.3,4.0,75.0,2542.0,17.5,80.0,3.0,mazda 626
119.0,37.0,4.0,92.0,2434.0,15.0,80.0,3.0,datsun 510 hatchback
108.0,32.2,4.0,75.0,2265.0,15.2,80.0,3.0,toyota corolla
86.0,46.6,4.0,65.0,2110.0,17.9,80.0,3.0,mazda glc
156.0,27.9,4.0,105.0,2800.0,14.4,80.0,1.0,dodge colt
85.0,40.8,4.0,65.0,2110.0,19.2,80.0,3.0,datsun 210
90.0,44.3,4.0,48.0,2085.0,21.7,80.0,2.0,vw rabbit c (diesel)
90.0,43.4,4.0,48.0,2335.0,23.7,80.0,2.0,vw dasher (diesel)
121.0,36.4,5.0,67.0,2950.0,19.9,80.0,2.0,audi 5000s (diesel)
146.0,30.0,4.0,67.0,3250.0,21.8,80.0,2.0,mercedes-benz 240d
91.0,44.6,4.0,67.0,1850.0,13.8,80.0,3.0,honda civic 1500 gl
97.0,33.8,4.0,67.0,2145.0,18.0,80.0,3.0,subaru dl
89.0,29.8,4.0,62.0,1845.0,15.3,80.0,2.0,vokswagen rabbit
168.0,32.7,6.0,132.0,2910.0,11.4,80.0,3.0,datsun 280-zx
70.0,23.7,3.0,100.0,2420.0,12.5,80.0,3.0,mazda rx-7 gs
122.0,35.0,4.0,88.0,2500.0,15.1,80.0,2.0,triumph tr7 coupe
107.0,32.4,4.0,72.0,2290.0,17.0,80.0,3.0,honda accord
